WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
512,AFG,NGDPDPC,Afghanistan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,196.683,196.954,214.23,248.049,270.189,321.441,377.256,430.867,532.072,602.183,661.087,635.635,629.921,599.349,519.219,532.22,505.909,507.29,499.441,505.827,523.013,540.522,555.893,571.606,2019
914,ALB,NGDPDPC,Albania,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4542.76,5284.442,5323.185,4898.277,5160.77,5647.781,6217.287,6623.227,7054.604,2018
612,DZA,NGDPDPC,Algeria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.385,2636.309,3141.027,3508.959,3986.564,4943.502,3886.059,4480.719,5453.894,5574.507,5477.055,5466.329,4153.322,3918.941,4012.134,4080.913,3898.011,3331.076,3449.415,3512.055,3541.217,3581.022,3641.005,2019
614,AGO,NGDPDPC,Angola,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,1222.038,1862.424,2561.859,3099.087,4081.688,3146.802,3641.444,4716.253,5245.023,5436.516,5625.736,4354.921,3676.826,4303.693,3620.589,2967.958,2021.31,2129.753,2198.09,2317.595,2437.413,2542.207,2017
311,ATG,NGDPDPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1920.27,2177.102,2448.568,2752.963,3200.967,3764.001,4617.601,5455.277,6547.27,7273.222,7623.412,7927.571,8084.421,8474.018,9097.242,8675.225,9266.488,9678.3,10074.768,10349.505,10981.376,10414.643,10482.005,10892.398,11581.321,12736.238,14262.099,15992.735,16510.077,14612.9,13564.679,13295.364,13811.081,13392.222,13951.99,14696.894,15556.009,15655.225,16860.955,17195.459,14158.571,14747.84,16368.891,17756.517,18558.793,19365.523,2011
213,ARG,NGDPDPC,Argentina,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11624.891,9890.314,8433.039,9095.104,9537.403,9927.792,10035.445,10105.618,2019
911,ARM,NGDPDPC,Armenia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4604.772,4314.732,4426.547,4748.787,5083.76,5463.734,5873.147,2015
314,ABW,NGDPDPC,Aruba,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16546.617,16620.854,17751.072,18825.012,19215.013,20678.398,20909.299,21081.787,21704.381,23421.303,23874.635,24389.24,26114.088,27204.889,24594.675,23468.6,24801.812,24236.809,24252.457,24572.146,24641.637,24075.516,24113.242,25194.839,25744.563,20310.096,22709.491,24217.542,25059.184,25874.832,26700.381,2017
193,AUS,NGDPDPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10986.894,12504.958,12211.869,11570.286,12551.535,10947.053,11224.159,12974.27,16215.568,18168.581,18835.044,18630.476,18082.202,17424.758,19703.289,20868.659,23107.279,22989.275,20347.29,21727.23,20850.588,19431.642,21648.448,27212.713,32761.735,36140.061,37875.798,45102.697,49149.671,45685.13,56459.095,67209.128,68445.029,65174.968,61648.195,51483.951,51933.814,55967.926,56453.359,54348.227,51885.466,57210.82,58724.361,60780.612,62704.083,64503.291,2019
122,AUT,NGDPDPC,Austria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10731.955,9280.728,9267.664,9417.235,8882.629,9090.795,12886.095,16093.014,17632.815,17547.811,21827.44,22621.881,25068.398,24152.659,25725.557,30350.529,29820.596,26737.468,27399.085,27210.471,24636.494,24558.933,26508.308,32298.607,36883.877,38450.625,40674.883,46922.558,51914.013,48111.662,46955.173,51452.276,48616.903,50747.4,51814.424,44267.796,45239.793,47440.196,51292.696,50380.282,48634.336,54820.303,57759.978,59982.456,62045.171,64084.568,2019
